Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Extra Trees Classifier,0.6636,0.7362,0.7267,0.6885,0.703,0.3071,0.3115,0.122,"(2, 3, 6)"
Linear Discriminant Analysis,0.6436,0.7207,0.6733,0.7054,0.6631,0.2778,0.2954,0.038,"(2, 3, 6)"
Ada Boost Classifier,0.6318,0.6373,0.7167,0.6662,0.6774,0.2509,0.2696,0.075,"(2, 3, 6)"
K Neighbors Classifier,0.6236,0.5853,0.74,0.6477,0.683,0.2294,0.2425,0.037,"(2, 3, 6)"
Random Forest Classifier,0.6136,0.6473,0.68,0.6744,0.6463,0.2131,0.2353,0.131,"(2, 3, 6)"
Logistic Regression,0.6127,0.6912,0.6933,0.6451,0.6584,0.2048,0.2207,0.041,"(2, 3, 6)"
Gradient Boosting Classifier,0.6127,0.5495,0.6967,0.6464,0.6513,0.2075,0.2402,0.107,"(2, 3, 6)"
Decision Tree Classifier,0.6036,0.6133,0.5567,0.7417,0.5979,0.2194,0.2584,0.037,"(2, 3, 6)"
Ridge Classifier,0.6036,0.0,0.7267,0.6258,0.6575,0.1751,0.1908,0.032,"(2, 3, 6)"
Quadratic Discriminant Analysis,0.5745,0.5483,0.8367,0.5856,0.6787,0.1021,0.1161,0.036,"(2, 3, 6)"
Dummy Classifier,0.5545,0.5,1.0,0.5545,0.7123,0.0,0.0,0.037,"(2, 3, 6)"
Naive Bayes,0.5536,0.518,0.73,0.5688,0.6295,0.0644,0.0831,0.036,"(2, 3, 6)"
Light Gradient Boosting Machine,0.5436,0.544,0.6467,0.5586,0.5906,0.0538,0.0488,0.041,"(2, 3, 6)"
SVM - Linear Kernel,0.5145,0.0,0.5,0.2845,0.3623,0.0,0.0,0.035,"(2, 3, 6)"
Extra Trees Classifier,0.7522,0.8327,0.8133,0.7716,0.7792,0.5093,0.5015,0.122,"(2, 3, 9)"
Random Forest Classifier,0.7389,0.7679,0.8333,0.7442,0.7763,0.4741,0.4907,0.132,"(2, 3, 9)"
Linear Discriminant Analysis,0.7367,0.8348,0.74,0.7831,0.747,0.4788,0.4978,0.04,"(2, 3, 9)"
Gradient Boosting Classifier,0.6656,0.7652,0.8167,0.6667,0.7196,0.3263,0.3506,0.106,"(2, 3, 9)"
Ridge Classifier,0.6544,0.0,0.7,0.6845,0.6761,0.3052,0.3269,0.037,"(2, 3, 9)"
Light Gradient Boosting Machine,0.6544,0.7443,0.7567,0.6844,0.7029,0.3013,0.3001,0.042,"(2, 3, 9)"
Ada Boost Classifier,0.6422,0.6347,0.7367,0.6639,0.6822,0.2751,0.3003,0.076,"(2, 3, 9)"
Quadratic Discriminant Analysis,0.64,0.605,0.94,0.6121,0.7404,0.2204,0.2771,0.039,"(2, 3, 9)"
Logistic Regression,0.6356,0.7127,0.6667,0.6617,0.6517,0.2752,0.2763,0.045,"(2, 3, 9)"
Naive Bayes,0.6011,0.5892,0.7967,0.6154,0.6832,0.1776,0.1968,0.037,"(2, 3, 9)"
Decision Tree Classifier,0.6011,0.6,0.68,0.65,0.6457,0.1967,0.1898,0.038,"(2, 3, 9)"
Dummy Classifier,0.5478,0.5,1.0,0.5478,0.7071,0.0,0.0,0.039,"(2, 3, 9)"
SVM - Linear Kernel,0.5078,0.0,0.5,0.2792,0.3579,0.027,0.0395,0.037,"(2, 3, 9)"
K Neighbors Classifier,0.4822,0.4312,0.59,0.5267,0.552,-0.0541,-0.0598,0.038,"(2, 3, 9)"
Ridge Classifier,0.7178,0.0,0.7533,0.7656,0.7423,0.4359,0.4655,0.039,"(2, 3, 12)"
Linear Discriminant Analysis,0.7178,0.7309,0.7867,0.7104,0.7288,0.4217,0.4565,0.045,"(2, 3, 12)"
Logistic Regression,0.7089,0.7965,0.7533,0.7668,0.7398,0.4127,0.4438,0.046,"(2, 3, 12)"
Extra Trees Classifier,0.6733,0.7483,0.79,0.6949,0.7259,0.3261,0.3516,0.122,"(2, 3, 12)"
Random Forest Classifier,0.6533,0.6592,0.75,0.6692,0.6954,0.3011,0.3173,0.131,"(2, 3, 12)"
Light Gradient Boosting Machine,0.6244,0.6647,0.7,0.6721,0.6708,0.23,0.2323,0.043,"(2, 3, 12)"
Gradient Boosting Classifier,0.6111,0.6652,0.67,0.644,0.6481,0.2059,0.2119,0.107,"(2, 3, 12)"
Quadratic Discriminant Analysis,0.5611,0.5375,0.79,0.5601,0.6484,0.0811,0.1087,0.041,"(2, 3, 12)"
Dummy Classifier,0.5478,0.5,1.0,0.5478,0.7071,0.0,0.0,0.041,"(2, 3, 12)"
Naive Bayes,0.54,0.4918,0.6833,0.5758,0.6057,0.0646,0.0906,0.04,"(2, 3, 12)"
Ada Boost Classifier,0.53,0.5123,0.5567,0.5995,0.5635,0.0413,0.0502,0.077,"(2, 3, 12)"
Decision Tree Classifier,0.5122,0.5025,0.59,0.5392,0.5595,0.0068,0.0053,0.041,"(2, 3, 12)"
SVM - Linear Kernel,0.4944,0.0,0.4,0.2211,0.2845,0.0,0.0,0.041,"(2, 3, 12)"
K Neighbors Classifier,0.4656,0.4845,0.6233,0.5025,0.5513,-0.1003,-0.0896,0.039,"(2, 3, 12)"
Extra Trees Classifier,0.7233,0.8117,0.75,0.7636,0.7396,0.4412,0.4646,0.128,"(2, 3, 13)"
Random Forest Classifier,0.6656,0.7792,0.7867,0.6917,0.7189,0.3051,0.3274,0.134,"(2, 3, 13)"
Gradient Boosting Classifier,0.66,0.7158,0.6867,0.7306,0.6824,0.3067,0.326,0.109,"(2, 3, 13)"
Light Gradient Boosting Machine,0.6444,0.7212,0.7233,0.6727,0.6805,0.2721,0.2766,0.048,"(2, 3, 13)"
Linear Discriminant Analysis,0.6389,0.714,0.67,0.6683,0.6591,0.2802,0.2841,0.042,"(2, 3, 13)"
Decision Tree Classifier,0.6222,0.6217,0.6433,0.6648,0.6406,0.2409,0.2463,0.043,"(2, 3, 13)"
Logistic Regression,0.6144,0.6657,0.7233,0.631,0.6681,0.1957,0.1935,0.05,"(2, 3, 13)"
Ridge Classifier,0.5933,0.0,0.6867,0.6238,0.647,0.1564,0.1575,0.042,"(2, 3, 13)"
Quadratic Discriminant Analysis,0.5744,0.5475,0.85,0.5834,0.6836,0.1001,0.103,0.042,"(2, 3, 13)"
Ada Boost Classifier,0.5711,0.6395,0.61,0.63,0.6043,0.1284,0.1411,0.072,"(2, 3, 13)"
Naive Bayes,0.5589,0.6197,0.7133,0.5798,0.6289,0.0953,0.1011,0.042,"(2, 3, 13)"
Dummy Classifier,0.5489,0.5,1.0,0.5489,0.7083,0.0,0.0,0.044,"(2, 3, 13)"
K Neighbors Classifier,0.49,0.4853,0.5733,0.509,0.5254,-0.0352,-0.0301,0.043,"(2, 3, 13)"
SVM - Linear Kernel,0.4711,0.0,0.2,0.11,0.1417,0.0,0.0,0.041,"(2, 3, 13)"
Ada Boost Classifier,0.6931,0.5671,0.68,0.7755,0.6939,0.3772,0.4096,0.072,"(2, 3, 15)"
Extra Trees Classifier,0.6708,0.6869,0.675,0.6892,0.6681,0.3295,0.3486,0.124,"(2, 3, 15)"
Logistic Regression,0.6431,0.6533,0.64,0.6817,0.6535,0.2864,0.2908,0.05,"(2, 3, 15)"
Linear Discriminant Analysis,0.6208,0.6571,0.635,0.6455,0.622,0.2295,0.237,0.046,"(2, 3, 15)"
Ridge Classifier,0.6194,0.0,0.625,0.6783,0.634,0.243,0.2572,0.046,"(2, 3, 15)"
Decision Tree Classifier,0.5833,0.5742,0.59,0.6264,0.5948,0.1493,0.1597,0.046,"(2, 3, 15)"
Gradient Boosting Classifier,0.5722,0.5892,0.585,0.6038,0.584,0.111,0.109,0.106,"(2, 3, 15)"
Light Gradient Boosting Machine,0.5597,0.5708,0.605,0.5708,0.5729,0.0734,0.0773,0.049,"(2, 3, 15)"
Dummy Classifier,0.5486,0.5,1.0,0.5486,0.707,0.0,0.0,0.045,"(2, 3, 15)"
Random Forest Classifier,0.5472,0.5971,0.61,0.56,0.5755,0.0701,0.0801,0.138,"(2, 3, 15)"
SVM - Linear Kernel,0.4875,0.0,0.4,0.2181,0.2817,0.0,0.0,0.045,"(2, 3, 15)"
Naive Bayes,0.4528,0.4379,0.425,0.4305,0.4199,-0.112,-0.128,0.046,"(2, 3, 15)"
Quadratic Discriminant Analysis,0.4389,0.4208,0.65,0.495,0.5501,-0.1647,-0.1724,0.045,"(2, 3, 15)"
K Neighbors Classifier,0.3917,0.4348,0.41,0.41,0.4037,-0.2037,-0.2229,0.046,"(2, 3, 15)"
Random Forest Classifier,0.6911,0.7255,0.7133,0.7236,0.7054,0.3805,0.3945,0.141,"(2, 3, 16)"
Extra Trees Classifier,0.6678,0.7487,0.73,0.7063,0.7016,0.3281,0.3515,0.126,"(2, 3, 16)"
Logistic Regression,0.6289,0.6732,0.67,0.6614,0.6545,0.2568,0.2704,0.058,"(2, 3, 16)"
Light Gradient Boosting Machine,0.6256,0.711,0.6533,0.6669,0.6462,0.2496,0.2621,0.052,"(2, 3, 16)"
Ada Boost Classifier,0.6056,0.5702,0.7033,0.6175,0.6504,0.189,0.2057,0.075,"(2, 3, 16)"
Linear Discriminant Analysis,0.6056,0.6413,0.5767,0.6655,0.5962,0.2202,0.2271,0.05,"(2, 3, 16)"
Gradient Boosting Classifier,0.6033,0.6705,0.6667,0.6302,0.6388,0.1904,0.2023,0.111,"(2, 3, 16)"
Naive Bayes,0.5911,0.6075,0.69,0.5999,0.6295,0.1666,0.1887,0.049,"(2, 3, 16)"
Ridge Classifier,0.5867,0.0,0.65,0.6192,0.6266,0.1619,0.1769,0.046,"(2, 3, 16)"
Quadratic Discriminant Analysis,0.5789,0.5517,0.8033,0.5858,0.6731,0.1051,0.1154,0.047,"(2, 3, 16)"
SVM - Linear Kernel,0.5489,0.0,0.8,0.4489,0.575,0.0,0.0,0.046,"(2, 3, 16)"
Dummy Classifier,0.5489,0.5,1.0,0.5489,0.7083,0.0,0.0,0.049,"(2, 3, 16)"
Decision Tree Classifier,0.5078,0.5133,0.4967,0.5743,0.4946,0.0302,0.0394,0.048,"(2, 3, 16)"
K Neighbors Classifier,0.4989,0.4803,0.6267,0.5131,0.5458,-0.041,-0.0273,0.049,"(2, 3, 16)"
Extra Trees Classifier,0.6845,0.7857,0.75,0.7093,0.7163,0.358,0.3824,0.13,"(2, 3, 17)"
Linear Discriminant Analysis,0.6755,0.8015,0.6933,0.7288,0.6956,0.332,0.3454,0.053,"(2, 3, 17)"
Random Forest Classifier,0.6555,0.6893,0.7867,0.6831,0.7136,0.2965,0.3291,0.136,"(2, 3, 17)"
Ridge Classifier,0.6364,0.0,0.6967,0.6639,0.6627,0.2677,0.2862,0.048,"(2, 3, 17)"
Ada Boost Classifier,0.6255,0.6562,0.73,0.6598,0.6829,0.2427,0.2293,0.082,"(2, 3, 17)"
Logistic Regression,0.6155,0.6947,0.67,0.6227,0.6249,0.2247,0.2526,0.058,"(2, 3, 17)"
Gradient Boosting Classifier,0.6145,0.6618,0.6967,0.6574,0.6633,0.2136,0.23,0.114,"(2, 3, 17)"
Decision Tree Classifier,0.5782,0.5683,0.6467,0.6125,0.6246,0.1359,0.1336,0.051,"(2, 3, 17)"
Light Gradient Boosting Machine,0.5745,0.6497,0.5733,0.6193,0.5847,0.153,0.1549,0.056,"(2, 3, 17)"
Quadratic Discriminant Analysis,0.56,0.5225,0.86,0.5666,0.6802,0.043,0.0404,0.053,"(2, 3, 17)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.051,"(2, 3, 17)"
Naive Bayes,0.52,0.5477,0.6967,0.547,0.6097,0.0028,0.0104,0.048,"(2, 3, 17)"
K Neighbors Classifier,0.5082,0.5046,0.5633,0.5679,0.5523,-0.0065,0.0037,0.051,"(2, 3, 17)"
SVM - Linear Kernel,0.5,0.0,0.3,0.1745,0.2206,0.0,0.0,0.048,"(2, 3, 17)"
Extra Trees Classifier,0.7464,0.834,0.76,0.785,0.7642,0.4921,0.507,0.136,"(2, 6, 9)"
Linear Discriminant Analysis,0.7227,0.7528,0.7533,0.7529,0.745,0.442,0.4544,0.055,"(2, 6, 9)"
Random Forest Classifier,0.6973,0.8082,0.7767,0.7151,0.7351,0.387,0.4039,0.14,"(2, 6, 9)"
Decision Tree Classifier,0.6882,0.6867,0.7233,0.7255,0.711,0.3731,0.3892,0.053,"(2, 6, 9)"
Ada Boost Classifier,0.6773,0.727,0.6867,0.747,0.6682,0.3545,0.3964,0.086,"(2, 6, 9)"
Gradient Boosting Classifier,0.6682,0.7665,0.74,0.7113,0.7078,0.3275,0.3489,0.118,"(2, 6, 9)"
Light Gradient Boosting Machine,0.6109,0.666,0.6733,0.6631,0.6555,0.2065,0.219,0.058,"(2, 6, 9)"
Logistic Regression,0.6091,0.651,0.7467,0.6444,0.67,0.2103,0.2297,0.058,"(2, 6, 9)"
Naive Bayes,0.5909,0.5572,0.7833,0.6173,0.6761,0.1516,0.183,0.052,"(2, 6, 9)"
Quadratic Discriminant Analysis,0.5836,0.5575,0.83,0.5866,0.6765,0.1239,0.148,0.056,"(2, 6, 9)"
Ridge Classifier,0.57,0.0,0.66,0.5796,0.6003,0.1428,0.1473,0.05,"(2, 6, 9)"
Dummy Classifier,0.5527,0.5,1.0,0.5527,0.7113,0.0,0.0,0.055,"(2, 6, 9)"
SVM - Linear Kernel,0.5164,0.0,0.5,0.2845,0.3623,0.0,0.0,0.05,"(2, 6, 9)"
K Neighbors Classifier,0.5136,0.5035,0.5567,0.5137,0.5177,0.0152,0.0043,0.053,"(2, 6, 9)"
Extra Trees Classifier,0.6682,0.7112,0.7733,0.6815,0.7165,0.3076,0.3171,0.132,"(2, 6, 12)"
Linear Discriminant Analysis,0.6609,0.7168,0.6233,0.7074,0.6471,0.3159,0.3313,0.06,"(2, 6, 12)"
Gradient Boosting Classifier,0.6491,0.7547,0.7067,0.6853,0.6828,0.2846,0.2975,0.118,"(2, 6, 12)"
Random Forest Classifier,0.6382,0.7555,0.7367,0.6415,0.679,0.2494,0.2651,0.14,"(2, 6, 12)"
Light Gradient Boosting Machine,0.59,0.6607,0.6367,0.6425,0.6288,0.1492,0.1536,0.061,"(2, 6, 12)"
Logistic Regression,0.5791,0.5983,0.7267,0.6076,0.6557,0.1198,0.1169,0.065,"(2, 6, 12)"
Quadratic Discriminant Analysis,0.5782,0.5642,0.7233,0.6143,0.6485,0.1309,0.1394,0.057,"(2, 6, 12)"
Decision Tree Classifier,0.5718,0.5575,0.65,0.6113,0.6195,0.1129,0.1157,0.058,"(2, 6, 12)"
Ridge Classifier,0.5709,0.0,0.7033,0.5968,0.6396,0.105,0.105,0.053,"(2, 6, 12)"
Ada Boost Classifier,0.5618,0.622,0.6333,0.5921,0.6053,0.0972,0.1005,0.091,"(2, 6, 12)"
Dummy Classifier,0.5527,0.5,1.0,0.5527,0.7113,0.0,0.0,0.057,"(2, 6, 12)"
K Neighbors Classifier,0.5027,0.4509,0.58,0.5523,0.5544,-0.0188,-0.0216,0.055,"(2, 6, 12)"
SVM - Linear Kernel,0.4745,0.0,0.3,0.1636,0.2118,0.0,0.0,0.058,"(2, 6, 12)"
Naive Bayes,0.41,0.3632,0.5333,0.4759,0.4982,-0.2178,-0.2303,0.055,"(2, 6, 12)"
Extra Trees Classifier,0.6545,0.7356,0.7467,0.6685,0.6999,0.2848,0.296,0.134,"(2, 6, 13)"
Ada Boost Classifier,0.6273,0.6167,0.61,0.6564,0.6197,0.2629,0.2627,0.084,"(2, 6, 13)"
Linear Discriminant Analysis,0.6209,0.6843,0.6367,0.634,0.6276,0.2413,0.241,0.056,"(2, 6, 13)"
Gradient Boosting Classifier,0.6,0.6893,0.6867,0.6194,0.6327,0.2036,0.2224,0.115,"(2, 6, 13)"
Decision Tree Classifier,0.5682,0.5783,0.6267,0.5667,0.5703,0.1659,0.1658,0.058,"(2, 6, 13)"
Light Gradient Boosting Machine,0.5664,0.549,0.6433,0.6075,0.6169,0.1164,0.121,0.062,"(2, 6, 13)"
Random Forest Classifier,0.5582,0.6494,0.6767,0.5731,0.6129,0.0957,0.115,0.145,"(2, 6, 13)"
Ridge Classifier,0.55,0.0,0.63,0.5895,0.595,0.0923,0.0962,0.056,"(2, 6, 13)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.064,"(2, 6, 13)"
Logistic Regression,0.5482,0.5728,0.6633,0.5901,0.6098,0.0838,0.0863,0.063,"(2, 6, 13)"
SVM - Linear Kernel,0.5309,0.0,0.8,0.44,0.5667,0.0,0.0,0.056,"(2, 6, 13)"
Quadratic Discriminant Analysis,0.53,0.5183,0.7467,0.5933,0.6059,0.0333,0.0537,0.057,"(2, 6, 13)"
Naive Bayes,0.47,0.474,0.4567,0.5305,0.4838,-0.0597,-0.0553,0.054,"(2, 6, 13)"
K Neighbors Classifier,0.37,0.3701,0.39,0.4076,0.3926,-0.258,-0.2662,0.056,"(2, 6, 13)"
Quadratic Discriminant Analysis,0.6111,0.5958,0.7667,0.6498,0.6852,0.1901,0.1953,0.061,"(2, 6, 15)"
Gradient Boosting Classifier,0.5978,0.5887,0.6833,0.6523,0.6504,0.1706,0.1838,0.114,"(2, 6, 15)"
Extra Trees Classifier,0.5756,0.6215,0.6233,0.6081,0.6095,0.142,0.1471,0.136,"(2, 6, 15)"
Ridge Classifier,0.5622,0.0,0.66,0.5958,0.6175,0.1022,0.1266,0.06,"(2, 6, 15)"
Linear Discriminant Analysis,0.5567,0.5303,0.5933,0.6106,0.5805,0.1123,0.1115,0.062,"(2, 6, 15)"
K Neighbors Classifier,0.5556,0.5792,0.6333,0.6051,0.6005,0.098,0.1154,0.061,"(2, 6, 15)"
Dummy Classifier,0.5544,0.5,1.0,0.5544,0.7131,0.0,0.0,0.062,"(2, 6, 15)"
Random Forest Classifier,0.5511,0.5673,0.6833,0.5749,0.6179,0.0758,0.0876,0.142,"(2, 6, 15)"
Light Gradient Boosting Machine,0.5511,0.5823,0.64,0.588,0.5982,0.082,0.106,0.064,"(2, 6, 15)"
Ada Boost Classifier,0.5189,0.517,0.5667,0.571,0.5537,0.0244,0.026,0.088,"(2, 6, 15)"
SVM - Linear Kernel,0.5011,0.0,0.6,0.3278,0.4238,0.0,0.0,0.06,"(2, 6, 15)"
Logistic Regression,0.4878,0.5002,0.6433,0.5292,0.5763,-0.0625,-0.0714,0.072,"(2, 6, 15)"
Naive Bayes,0.4856,0.4353,0.41,0.4922,0.423,0.0003,0.0094,0.06,"(2, 6, 15)"
Decision Tree Classifier,0.3922,0.3825,0.47,0.4483,0.4525,-0.2353,-0.2491,0.06,"(2, 6, 15)"
Extra Trees Classifier,0.7736,0.8358,0.82,0.7871,0.7897,0.542,0.5583,0.134,"(2, 6, 16)"
Light Gradient Boosting Machine,0.7227,0.7335,0.7867,0.7463,0.7582,0.4386,0.4398,0.068,"(2, 6, 16)"
Random Forest Classifier,0.7045,0.7721,0.78,0.7114,0.7388,0.3925,0.4025,0.143,"(2, 6, 16)"
Gradient Boosting Classifier,0.6536,0.7032,0.7333,0.6746,0.6939,0.3001,0.3053,0.119,"(2, 6, 16)"
Logistic Regression,0.6464,0.6548,0.7367,0.6711,0.6888,0.2841,0.2891,0.073,"(2, 6, 16)"
Linear Discriminant Analysis,0.6291,0.6623,0.6233,0.6714,0.6425,0.2438,0.2475,0.064,"(2, 6, 16)"
Decision Tree Classifier,0.6273,0.62,0.73,0.6501,0.6706,0.2425,0.2636,0.063,"(2, 6, 16)"
Ridge Classifier,0.6182,0.0,0.72,0.6355,0.6599,0.2234,0.2262,0.061,"(2, 6, 16)"
Ada Boost Classifier,0.6082,0.6243,0.6433,0.6414,0.6342,0.2056,0.2057,0.087,"(2, 6, 16)"
Naive Bayes,0.5973,0.5745,0.72,0.6206,0.6534,0.1806,0.2003,0.065,"(2, 6, 16)"
Quadratic Discriminant Analysis,0.5709,0.5458,0.8267,0.5855,0.6803,0.0861,0.0873,0.063,"(2, 6, 16)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.063,"(2, 6, 16)"
SVM - Linear Kernel,0.5309,0.0,0.5,0.29,0.3667,0.0,0.0,0.061,"(2, 6, 16)"
K Neighbors Classifier,0.4345,0.4297,0.5067,0.4571,0.4732,-0.1454,-0.1615,0.063,"(2, 6, 16)"
Extra Trees Classifier,0.7515,0.7574,0.8095,0.7848,0.7793,0.492,0.5246,0.136,"(2, 6, 17)"
Random Forest Classifier,0.6955,0.7436,0.8071,0.7081,0.7438,0.3714,0.4018,0.143,"(2, 6, 17)"
Gradient Boosting Classifier,0.6871,0.7571,0.7262,0.7348,0.7161,0.3645,0.3845,0.121,"(2, 6, 17)"
Light Gradient Boosting Machine,0.6871,0.7071,0.7405,0.7238,0.7134,0.3635,0.3953,0.07,"(2, 6, 17)"
Linear Discriminant Analysis,0.6856,0.7429,0.7262,0.7326,0.7174,0.3623,0.3796,0.065,"(2, 6, 17)"
Ada Boost Classifier,0.6515,0.699,0.6976,0.6953,0.6787,0.2967,0.3244,0.095,"(2, 6, 17)"
Logistic Regression,0.6348,0.5833,0.7452,0.653,0.6877,0.2498,0.2697,0.073,"(2, 6, 17)"
Decision Tree Classifier,0.6311,0.6281,0.6762,0.6944,0.6593,0.2518,0.2765,0.065,"(2, 6, 17)"
Ridge Classifier,0.6159,0.0,0.7762,0.6252,0.6886,0.2016,0.2145,0.06,"(2, 6, 17)"
Naive Bayes,0.6129,0.5943,0.7214,0.6343,0.6686,0.2037,0.1986,0.065,"(2, 6, 17)"
Dummy Classifier,0.553,0.5,1.0,0.553,0.7121,0.0,0.0,0.065,"(2, 6, 17)"
Quadratic Discriminant Analysis,0.5447,0.4929,0.9857,0.5492,0.7051,-0.0161,-0.0255,0.066,"(2, 6, 17)"
SVM - Linear Kernel,0.5258,0.0,0.7,0.3894,0.5003,0.0,0.0,0.063,"(2, 6, 17)"
K Neighbors Classifier,0.5167,0.5007,0.5905,0.5564,0.5601,0.0105,0.0097,0.065,"(2, 6, 17)"
Linear Discriminant Analysis,0.7667,0.7953,0.7567,0.8369,0.7746,0.5179,0.5408,0.069,"(2, 9, 12)"
Extra Trees Classifier,0.7233,0.7119,0.8333,0.7229,0.7641,0.4269,0.4574,0.142,"(2, 9, 12)"
Ada Boost Classifier,0.6556,0.6663,0.6967,0.6842,0.678,0.2875,0.298,0.093,"(2, 9, 12)"
Gradient Boosting Classifier,0.6444,0.579,0.6633,0.6933,0.6686,0.2825,0.2978,0.12,"(2, 9, 12)"
Random Forest Classifier,0.6222,0.6098,0.7133,0.6333,0.6559,0.2081,0.2292,0.145,"(2, 9, 12)"
Light Gradient Boosting Machine,0.5589,0.5963,0.64,0.5845,0.6045,0.0963,0.0953,0.074,"(2, 9, 12)"
Dummy Classifier,0.5511,0.5,1.0,0.5511,0.7095,0.0,0.0,0.071,"(2, 9, 12)"
Decision Tree Classifier,0.5322,0.5242,0.5533,0.5855,0.5616,0.0434,0.0419,0.067,"(2, 9, 12)"
SVM - Linear Kernel,0.52,0.0,0.7,0.3856,0.4964,0.0,0.0,0.065,"(2, 9, 12)"
Quadratic Discriminant Analysis,0.4922,0.4658,0.7667,0.5218,0.6143,-0.0663,-0.047,0.067,"(2, 9, 12)"
Ridge Classifier,0.48,0.0,0.6267,0.5118,0.5535,-0.0793,-0.094,0.066,"(2, 9, 12)"
K Neighbors Classifier,0.4789,0.5018,0.58,0.5297,0.5432,-0.0576,-0.0667,0.068,"(2, 9, 12)"
Logistic Regression,0.4011,0.313,0.6167,0.4639,0.5209,-0.2386,-0.276,0.073,"(2, 9, 12)"
Naive Bayes,0.4,0.3297,0.57,0.4533,0.4999,-0.2572,-0.2897,0.067,"(2, 9, 12)"
Extra Trees Classifier,0.6844,0.6698,0.81,0.7091,0.7418,0.3416,0.3611,0.139,"(2, 9, 13)"
Random Forest Classifier,0.6411,0.6123,0.77,0.6503,0.6976,0.2556,0.2839,0.146,"(2, 9, 13)"
Gradient Boosting Classifier,0.6233,0.5933,0.73,0.6451,0.6781,0.2137,0.2305,0.118,"(2, 9, 13)"
Linear Discriminant Analysis,0.61,0.6147,0.6167,0.6536,0.6256,0.2192,0.2249,0.069,"(2, 9, 13)"
Light Gradient Boosting Machine,0.57,0.6375,0.6433,0.592,0.6071,0.1342,0.1472,0.075,"(2, 9, 13)"
Dummy Classifier,0.5522,0.5,1.0,0.5522,0.7107,0.0,0.0,0.071,"(2, 9, 13)"
Ridge Classifier,0.5378,0.0,0.66,0.5654,0.5998,0.0597,0.0614,0.074,"(2, 9, 13)"
SVM - Linear Kernel,0.5322,0.0,0.8,0.4422,0.569,0.0,0.0,0.068,"(2, 9, 13)"
Logistic Regression,0.5289,0.4812,0.7167,0.5583,0.6245,0.015,0.0202,0.081,"(2, 9, 13)"
Quadratic Discriminant Analysis,0.5222,0.4875,0.79,0.5439,0.642,-0.0237,-0.0288,0.068,"(2, 9, 13)"
Naive Bayes,0.5011,0.5108,0.6967,0.5353,0.5931,-0.0489,-0.0689,0.071,"(2, 9, 13)"
Decision Tree Classifier,0.4967,0.4725,0.62,0.536,0.571,-0.0606,-0.0704,0.071,"(2, 9, 13)"
Ada Boost Classifier,0.49,0.4868,0.5433,0.5352,0.533,-0.034,-0.0326,0.096,"(2, 9, 13)"
K Neighbors Classifier,0.4389,0.4592,0.5,0.4944,0.4782,-0.1159,-0.1173,0.072,"(2, 9, 13)"
Linear Discriminant Analysis,0.7069,0.7967,0.715,0.7717,0.7242,0.422,0.4475,0.072,"(2, 9, 15)"
Random Forest Classifier,0.6486,0.6833,0.71,0.6924,0.6775,0.2943,0.3039,0.149,"(2, 9, 15)"
Extra Trees Classifier,0.6486,0.6458,0.755,0.695,0.699,0.2807,0.2983,0.139,"(2, 9, 15)"
Light Gradient Boosting Machine,0.6181,0.6608,0.645,0.6925,0.6468,0.2288,0.2577,0.076,"(2, 9, 15)"
Gradient Boosting Classifier,0.6083,0.6446,0.675,0.6729,0.6521,0.2082,0.2136,0.117,"(2, 9, 15)"
Decision Tree Classifier,0.6042,0.5975,0.67,0.66,0.658,0.1906,0.1942,0.072,"(2, 9, 15)"
Ada Boost Classifier,0.5958,0.5925,0.695,0.6538,0.6541,0.1743,0.1826,0.096,"(2, 9, 15)"
Logistic Regression,0.5653,0.5279,0.71,0.6027,0.6347,0.1133,0.1344,0.076,"(2, 9, 15)"
Quadratic Discriminant Analysis,0.5653,0.5358,0.83,0.578,0.6728,0.0784,0.1155,0.07,"(2, 9, 15)"
Dummy Classifier,0.5583,0.5,1.0,0.5583,0.7158,0.0,0.0,0.074,"(2, 9, 15)"
Ridge Classifier,0.5569,0.0,0.675,0.6196,0.6168,0.0996,0.1376,0.07,"(2, 9, 15)"
K Neighbors Classifier,0.5472,0.5992,0.6,0.6019,0.5767,0.1097,0.1103,0.072,"(2, 9, 15)"
SVM - Linear Kernel,0.5375,0.0,0.525,0.3917,0.4081,0.025,0.0378,0.071,"(2, 9, 15)"
Naive Bayes,0.45,0.4375,0.44,0.5205,0.4577,-0.0732,-0.0874,0.068,"(2, 9, 15)"
Extra Trees Classifier,0.6967,0.8051,0.79,0.7018,0.738,0.3754,0.3918,0.137,"(2, 9, 16)"
Gradient Boosting Classifier,0.6856,0.765,0.7767,0.6989,0.7281,0.3585,0.3747,0.122,"(2, 9, 16)"
Ada Boost Classifier,0.6778,0.7202,0.72,0.7073,0.7054,0.35,0.3655,0.099,"(2, 9, 16)"
Random Forest Classifier,0.6644,0.7669,0.75,0.6767,0.7038,0.3191,0.3287,0.149,"(2, 9, 16)"
Linear Discriminant Analysis,0.6578,0.7227,0.75,0.6863,0.7063,0.3013,0.3166,0.08,"(2, 9, 16)"
